Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Młodszy specjalista ds. obsługi informatycznej szkoleń,Polska Agencja Żeglugi Powietrznej,2025-01-07,6 000–8 000 zł brutto / mies.,"['Python', 'JavaScript', 'C#']","https://www.pracuj.pl/praca/mlodszy-specjalista-ds-obslugi-informatycznej-szkolen-warszawa-wiezowa-8,oferta,1003815327?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Staż - Młodszy Konsultant Wdrożeniowy (Dział Rozwoju Oprogramowania),All for One Poland,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/staz-mlodszy-konsultant-wdrozeniowy-dzial-rozwoju-oprogramowania-poznan-ratajczaka-19,oferta,1003807125?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Konsultant Helpdesk,Support Online Sp. z o.o.,2025-01-07,4 700–5 700 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/konsultant-helpdesk-warszawa,oferta,1003815281?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Specjalista ds. analizy / obróbki danych,Asco,2025-01-07,5 500–9 000,['SQL'],"https://www.pracuj.pl/praca/specjalista-ds-analizy-obrobki-danych-krakow-balicka-100,oferta,1003799846?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Full-Stack Developer (.NET + Angular),"""Raynet Polska"" Sp. z o.o.",2025-01-07,Brak wynagrodzenia,"['.NET', 'C#', 'Angular']","https://www.pracuj.pl/praca/full-stack-developer-net-%2b-angular-szczecin-cyfrowa-6,oferta,1003799793?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Młodszy Specjalista ds. wdrożeń,Unisoft Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-wdrozen-katowice-aleja-walentego-rozdzienskiego-188,oferta,1003815158?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Junior Fullstack Developer,Sedlak & Sedlak,2025-01-07,6 000–8 500 zł brutto / mies.,"['HTML', 'CSS', 'SASS', 'Javascript ES6', 'Jquery', 'Vue3', 'PHP', 'Symfony', 'Git', 'SQL']","https://www.pracuj.pl/praca/junior-fullstack-developer-krakow-krolowej-jadwigi-189b,oferta,1003815033?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Software engineer,BEC Poland,2025-01-07,Brak wynagrodzenia,"['Java', 'C#', 'Spring Boot', 'SQL']","https://www.pracuj.pl/praca/software-engineer-warszawa-emilii-plater-53,oferta,1003777550?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Mobilny Technik z jęz. niemieckim,Hemmersbach,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/mobilny-technik-z-jez-niemieckim-wroclaw,oferta,1003814794?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Back office specialist with German,Concentrix CVG International Sp. z o.o.,2025-01-07,7 500–8 232,['Salesforce'],"https://www.pracuj.pl/praca/back-office-specialist-with-german-szczecin-plac-brama-portowa-1,oferta,1003799524?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Pracownik zespołu szkoleniowo - utrzymaniowego z językiem słowackim,ALLIANCE AUTOMOTIVE SYSTEMS SP. Z O.O.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/pracownik-zespolu-szkoleniowo-utrzymaniowego-z-jezykiem-slowackim-poznan-dabrowskiego-29,oferta,1003808700?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior Data Migration Specialist,APTVISION,2025-01-07,Brak wynagrodzenia,['SQL'],"https://www.pracuj.pl/praca/junior-data-migration-specialist-lodz-niciarniana-2-6,oferta,1003802770?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Specjalista d.s. wdrożeń systemów klasy ERP,Aura Technologies Sp. z o.o,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/specjalista-d-s-wdrozen-systemow-klasy-erp-warszawa-aleje-jerozolimskie-181b,oferta,1003783841?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
INFORMATYK – PRACOWNIK HELP DESK,Fideltronik Poland Sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/informatyk-pracownik-help-desk-sucha-beskidzka-beniowskiego-1,oferta,1003814374?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Programista Java,KAELMO,2025-01-07,Brak wynagrodzenia,"['Java', 'Angular', 'Spring Framework', 'Git', 'SQL']","https://www.pracuj.pl/praca/programista-java-bydgoszcz-fordonska-199,oferta,1003814362?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Brak tytułu,Infocomp Sp. z o.o.,2025-01-07,Brak wynagrodzenia,"['Windows Server', 'Linux', 'Active Directory']",Brak linku
Praktykant/ka IT,Nesperta Europe sp. z o.o.,2025-01-07,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/praktykant-ka-it-jelonek-pow-poznanski-obornicka-7,oferta,1003814314?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Junior Embedded System Developer,3MDEB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-06,4 242–5 000 zł brutto / mies.,"['Linux', 'C', 'Git']","https://www.pracuj.pl/praca/junior-embedded-system-developer-gdansk-piastowska-7,oferta,1003802505?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Software Development Intern - Summer Internship 2025,REMITLY POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-06,Brak wynagrodzenia,Brak technologii,"https://www.pracuj.pl/praca/software-development-intern-summer-internship-2025-krakow-pawia-17,oferta,1003813577?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
Programista Java,Softelnet S.A.,2025-01-06,Brak wynagrodzenia,"['Java', 'SQL']","https://www.pracuj.pl/praca/programista-java-krakow-juliusza-lea-114,oferta,1003779405?s=885d2942&searchId=MTczNjI5Nzk4OTY5NC45MDky"
