Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link,Wynagrodzenie_min,Wynagrodzenie_max,Waluta,Wynagrodzenie_avg
Senior Node.js / DevOps Engineer,Code and Pepper,2025-01-08,22000-28000pln,"['Fully remote', 'Node.js', 'TypeScript', 'JavaScript']",https://justjoin.it/job-offer/code-and-pepper-senior-node-js-devops-engineer-szczecin-javascript,22000.0,28000.0,PLN,25000.0
Senior Android Developer,Code and Pepper,2025-01-08,24000-28000pln,"['Fully remote', 'Kotlin', 'Java', 'UX']",https://justjoin.it/job-offer/code-and-pepper-senior-android-developer-olsztyn-mobile,24000.0,28000.0,PLN,26000.0
Senior React Native Developer,Callstack,2025-01-08,21000-33000pln,"['Fully remote', 'React.JS', 'JavaScript', 'React Native']",https://justjoin.it/job-offer/callstack-senior-react-native-developer-wroclaw-javascript-b2c1bb2c,21000.0,33000.0,PLN,27000.0
Senior Data Analyst,Kryptonim,2025-01-08,17000-20000pln,"['Data analysis', 'SQL', 'Databases']",https://justjoin.it/job-offer/kryptonim-senior-data-analyst-warszawa-pm,17000.0,20000.0,PLN,18500.0
Fullstack (PHP/Angular) Developer,Collegium Da Vinci,2025-01-03,10000-15000pln,"['JavaScript', 'PHP', 'Symfony']",https://justjoin.it/job-offer/collegium-da-vinci-fullstack-php-angular-developer-poznan-php,10000.0,15000.0,PLN,12500.0
Application Security Analyst,ER Group,2025-01-08,16382-20477pln,"['IT Security', 'Security']",https://justjoin.it/job-offer/er-group-application-security-analyst-walencja-security,16382.0,20477.0,PLN,18429.5
WebMethods Developer,ER Group,2025-01-08,16000-18000pln,"['Fully remote', 'MySQL', 'ESB', 'webMethods']",https://justjoin.it/job-offer/er-group-webmethods-developer-warszawa-other-4c51e027,16000.0,18000.0,PLN,17000.0
Solution Architect,ER Group,2025-01-08,30716-33992pln,"['Fully remote', 'Architecture', 'Software Architecture', 'CMS']",https://justjoin.it/job-offer/er-group-solution-architect-warszawa-architecture,30716.0,33992.0,PLN,32354.0
MLOps Engineer,Holisticon Insight,2025-01-08,20160-26544pln,"['Fully remote', 'English', 'Python', 'MLflow']",https://justjoin.it/job-offer/holisticon-insight-mlops-engineer-wroclaw-devops,20160.0,26544.0,PLN,23352.0
Mid FullStack Developer (Java + Angular),ITDS,2025-01-08,18900-22680pln,"['Hibernate', 'Java', 'Spring']",https://justjoin.it/job-offer/itds-mid-fullstack-developer-java-angular--warszawa-java,18900.0,22680.0,PLN,20790.0
Senior Java Software Engineer,Dynatrace,2025-01-08,16000-22000pln,"['Java', 'Gradle', 'Python']",https://justjoin.it/job-offer/dynatrace-senior-java-software-engineer-gdansk-java,16000.0,22000.0,PLN,19000.0
iOS Team Leader,Grupa Blix,2025-01-08,20000-25000pln,"['Fully remote', 'Polish', 'iOS', 'Swift']",https://justjoin.it/job-offer/grupa-blix-ios-team-leader-poznan-mobile,20000.0,25000.0,PLN,22500.0
Senior Angular Developer,Code and Pepper,2025-01-08,22000-28000pln,"['Fully remote', 'Scrum', 'Angular', 'TypeScript']",https://justjoin.it/job-offer/code-and-pepper-senior-angular-developer-warszawa-javascript,22000.0,28000.0,PLN,25000.0
Python Developer with DevOps Approach,Straal,2025-01-08,14000-20000pln,"['Fully remote', 'Python', 'Git', 'PostgreSQL']",https://justjoin.it/job-offer/straal-python-developer-with-devops-approach-warszawa-python,14000.0,20000.0,PLN,17000.0
Cloud Operation Engineer,LetzCode,2025-01-08,34000-36000pln,"['Fully remote', 'Troubleshooting', 'Communication', 'IT Support']",https://justjoin.it/job-offer/letzcode-cloud-operation-engineer-luxembourg-devops,34000.0,36000.0,PLN,35000.0
DevOps Engineer,Daftcode,2025-01-08,20000-27000pln,"['Monitoring Tools', 'Public Clouds', 'CI/CD']",https://justjoin.it/job-offer/daftcode-devops-engineer-warszawa-devops,20000.0,27000.0,PLN,23500.0
QA Automation Lead Engineer (Fintech project),Syberry,2025-01-08,20000-30000pln,"['Fully remote', 'JavaScript', 'e2e testing', 'Playwright']",https://justjoin.it/job-offer/syberry-qa-automation-lead-engineer-fintech-project--krakow-testing,20000.0,30000.0,PLN,25000.0
Senior DevOps Engineer,Syberry,2025-01-08,25000-40000pln,"['Fully remote', 'English', 'Amazon AWS', 'Software Development']",https://justjoin.it/job-offer/syberry-senior-devops-engineer-warszawa-devops,25000.0,40000.0,PLN,32500.0
"Software Engineer II, Backend (Comms Platform)",Affirm,2025-01-08,21000-29333pln,"['Fully remote', 'Python', 'AWS', 'Kotlin']",https://justjoin.it/job-offer/affirm-software-engineer-ii-backend-comms-platform--warszawa-python,21000.0,29333.0,PLN,25166.5
"Fullstack Developer (Node.js, React)",Synerise,2025-01-08,12000-18000pln,"['Fully remote', 'Node.js', 'React', 'TypeScript']",https://justjoin.it/job-offer/synerise-fullstack-developer-node-js-react--krakow-javascript,12000.0,18000.0,PLN,15000.0
"SAP BI Developer/Consultant (SAP BW/4HANA, SAP Datasphere)",CODA100,2025-01-08,25006-35722pln,"['Fully remote', 'SAP', 'SAP HANA', 'SQL']",https://justjoin.it/job-offer/coda100-sap-bi-developer-consultant-sap-bw-4hana-sap-datasphere--frankfurt-am-main-erp,25006.0,35722.0,PLN,30364.0
Senior Service Consultant z j. niemieckim (MicroStrategy),dmTECH Polska,2025-01-08,10700-14600pln,"['Fully remote', 'Microstrategy', 'SQL', 'Confluence']",https://justjoin.it/job-offer/dmtech-polska-senior-service-consultant-z-j-niemieckim-microstrategy--wroclaw-support,10700.0,14600.0,PLN,12650.0
Senior .NET Engineer,Macrix Polska,2025-01-08,15500-26000pln,['.Net'],https://justjoin.it/job-offer/macrix-polska-senior-net-engineer-poznan-net,15500.0,26000.0,PLN,20750.0
Senior Service Consultant z j. niemieckim (ETL),dmTECH Polska,2025-01-08,10700-14600pln,"['Fully remote', 'Atlassian Confluence', 'Atlassian JIRA', 'Datadog']",https://justjoin.it/job-offer/dmtech-polska-senior-service-consultant-z-j-niemieckim-etl--wroclaw-data,10700.0,14600.0,PLN,12650.0
